,name,hall_vibe,catering,parking_facility,transport_access,bridal_room,guest_flow,pricing_detail,service_etc,disadvantage,in_guarantee
270,"인천 라마다 송도, 다빈치홀","어두운 분위기와 높은 층고, 고급스러운 느낌","대관료 400만원, 식대 6만원",주차 무료,"동춘역과 가까움, 셔틀버스 운영","넓고 분위기 있는 신부대기실, 꽃 테이블 있음",간결함,"대관료 200만원, 식대 5만원대 (할인 적용)","친절한 직원, 고화질 모니터로 실시간 예식 관람 가능",None,250
271,서울 포시즌스 호텔,"아담하고 아늑한 느낌, 통창으로 채광이 들어오는 신부대기실","성수기 기준 19만원, 대관료 무료, 웨딩 무대 및 로드 450만원",None,None,"넓고 예쁜 신부대기실, 통창 너머 외부 간판이 보임",상담 중 하객의 출입으로 아쉬움,기본 견적은 괜찮으나 추가금 발생 가능성 있음,상담 대기 중 길어져서 아쉬움,"주말 시위로 인한 교통체증 우려, 추가금 발생 가능성",250
272,대전 루이비스컨벤션 아모리스홀,"깔끔하고 은은한 분위기, 고급스러운 인테리어",맛있고 다양한 음식 제공,주차가 넉넉함,None,None,하객동선이 복잡하지 않음,None,예약실 선생님들이 친절함,None,None
273,신도림 더세인트,"예쁜 홀, 깔끔한 분위기",None,주차공간 넉넉함,대중교통 접근성 좋음,None,웨딩 동선 잘 분리되어 편리함,합리적인 견적,친절하고 전문적인 상담,어르신들의 동시예식에 대한 불호,250
274,영등포 더베르g(더베르지),"밝은 홀, 숲 속의 느낌을 구현한 예쁜 홀","식대 11만원, 주류 무제한 제공","주차 편리, 주말에는 널널함","대중교통 접근 용이, 도보 이동 편리, 셔틀 운영",None,"하객 동선 효율적, 출입구 2개로 편리함","대관료 1,600만원","직원 친절하고 상세한 설명, 하객 입장에서 설계된 홀",None,250
275,분당앤스퀘어 컨벤션홀,"어두운 분위기의 정석적인 컨벤션홀, 세련되고 깔끔한 인테리어","식대 70,000원(정가), 60,000원(할인가), 퀄리티 좋은 뷔페","지하 주차장, 총 1,500대 주차 가능","수인분당선 오리역 도보 5분, 분당 IC 근처",혼주룸 따로 있음,복잡할 수 있으나 홀 예식 시간 조절로 완화 가능,"대관료 7,500,000원(정가), 4,000,000원(할인가), 합리적인 가격",전문적인 상담 및 홀 투어 진행,한 층에 홀 두 개로 혼잡할 가능성,200
276,강남 라온제나,"깔끔한 로비와 아기자기하게 꾸며진 홀, 신부대기실 통창으로 사진 잘 나옴","대관료 770만원, 식대 7만원",건물 내 주차대수 넉넉함,지하 주차장에서 1층에서 갈아타야 함,통창 신부대기실,기둥이 있지만 현수막으로 이벤트처럼 보임,"대관료 300만원, 식대 5.5만원으로 가성비 좋음",None,"협소한 엘리베이터, 연회장이 다른 층에 위치",200
277,인천 그레이스파티 단독홀,"넓은 로비와 화려한 샹들리에, 어두운 홀 분위기","대관료 6,500,000원, 식대 75,000원, 음식 퀄리티 좋음",총 3곳에 1000대 가량 주차 가능,"1호선 부평역사 5층, 역사 내 위치","넓고 화려한 신부대기실, 바로 입장 가능",하객 동선 간결함,"대관료와 식대 할인, 합리적 가격","친절한 상담, 무료 취소 가능","조감도만 보고 계약해야 하는 불안감, 후기 부족, 축가 소리 문제",None
278,강남구 논현로 호텔 엘리에나,"고급스럽고 예쁜 5F 그랜드블룸, 준야외 느낌","정가 138,000원, 할인가 89,000원",None,None,None,None,"대관료 8,250,000원, 총 가격 46,145,000원","친절한 상담, 디테일한 신경",300명의 보증인원과 높은 가격 부담,300
279,논현 더채플앳 라포레홀,"밝은 화이트톤 인테리어로 넓어 보이는 느낌, 천고가 높음","식대 99,000원, 맛있기를 희망","주차장이 넓지 않음, 대중교통 이용 권장",None,신부 입장 시 계단이 높아 조심해야 함,길게 뻗은 구조로 착석하지 못할 하객이 있을 수 있음,"대관료 12,000,000원, 비싼 식대",None,"공간이 길게 뻗어 북적일 가능성, 비싼 식대",270
280,서울 앰버서더 풀만 호텔 그랜드볼룸,"어두운 홀, 화려한 꽃장식, 디즈니 느낌의 분위기","식대 15만원, 총 대략 7900만원",None,None,None,스크린 2개로 하객들이 잘 볼 수 있음,"할인가 식대 13만5천원, 대관료 440만원, 총 대략 6900만원",호텔 1층 로비 미디어월에 신랑신부 사진 띄워줌,낮은 천고,300
281,여의도 웨딩여율리,"생화로 가득한 화사한 분위기, 향기 좋은 홀","95,000원, 음식 맛있기로 소문남",주차와 동선이 합리적,여의도역과 가까움,꽃장식이 예쁜 신부대기실,None,"1,100만원, 잔여타임 할인 적용",친절한 상담과 꼼꼼한 견적 조정,"휴게 공간 협소, 낮은 층고가 아쉬움",200
282,CN웨딩홀 계산점,"깔끔하고 고급스러운 분위기, 넓고 천고가 높은 홀",None,"주차요원 배치, 체계적으로 관리되어 주차 편리",None,"넓고 여유로운 신부대기실, 화려한 꽃 장식과 조명 배치",하객 동선이 잘 관리되어 편리함,None,직원들의 친절한 응대와 꼼꼼한 안내,계약 당시 홀을 보지 못한 점,None
283,여의도 더베르G,"밝고 하우스웨딩 느낌, 곡선으로 된 버진로드","11만원, 만족스러움",None,주차와 교통 모두 만족스러움,None,None,"대관료 및 꽃장식 1,600만원",신상 홀로 여러 의견을 빠르게 반영하고 개선 중,본식 후기가 많지 않아 걱정됨,250
284,수원 이비스 호텔,"고급스러운 외관과 웅장한 홀, 편안한 분위기","정가 식대 99,000원, 할인가 식대 84,150원, 맛있는 식사와 다양한 디저트",주차 공간 부족 우려,지하철역과 매우 가까움,예쁘고 브라이덜샤워 공간이 마련됨,두 개의 층으로 분리되어 하객 동선이 간결함,"대관료 및 꽃장식 정가 15,000,000원, 할인가 9,750,000원",혼주 라운지가 넓고 편안함,주차 공간 부족에 대한 걱정,200
285,논현 더채플 라메르홀,"넓고 답답하지 않은 홀, 리뉴얼된 신부대기실","7.2만원, 깔끔한 느낌",발렛 주차만 가능,None,"리뉴얼된 신부대기실, 메리트 있음",손님 모시기에 걱정 없음,"690만원, 합리적인 가격",None,돌아갈 때 셔틀을 타고 발렛 장소로 가야함,250
286,논현 더 채플 앳 라포레홀,"밝은 홀과 채플홀의 조화, 특유의 분위기가 좋음","대관료 1,200만원, 식대 12만원",주차장이 협소하나 발렛 서비스 제공,None,None,손님이 거의 섞일 일이 없음,"대관료 1,130만원, 식대 11.3만원",None,"홀 크기가 최소 보증인원에 비해 작음, 주차 공간 협소",300
287,역세권 온즈드롬,"천정개폐 가능, 유리창 사이로 들어오는 자연광이 아름다움","식대 66,000원, 고급스러운 식사 대접",None,"대중교통 편리, 역세권",꽃을 커스텀하여 꾸밀 수 있는 점이 매력적,식물원처럼 푸르름이 가득하여 사진 촬영에 적합,"대관료 435만원, 꽃장식 300만원, 본식촬영 88만원",None,"날씨에 대한 걱정, 비 오는 날의 진행에 대한 우려",200
288,신도림 웨스턴베니비스,"어두운 홀, 적당한 층고, 여유 있는 좌석","식대 7만5천원, 대관료 750만원",주차공간 여유 있음,신도림역과 가까움,신부대기실에 화장실이 있어 편리함,이동 동선이 깔끔하고 편리함,None,상담이 친절하고 충분한 시간 제공,층고가 낮다는 후기가 많음,170
289,강남 르비르모어,"밝은 컨벤션홀, 천고 5m로 낮은 편이나 넓고 트인 느낌","108,000원, 뷔페 종류 다양하고 육류와 디저트가 강점",주차장 출입통로가 좁음,"강남 선릉역 초역세권, 대중교통 접근성 좋음","넓고 화사한 신부대기실, 생화장식이 예쁨","동선 편리, 예식장과 연회장 간 에스컬레이터 이용 가능","대관료 14,000,000원, 식대 108,000원",None,층고가 낮고 주차장 출입통로가 좁음,250
290,JK아트컨벤션 아트리움홀,"식장에서 바로 나오자마자 식당으로 가는 동선이 좋고, 전체적으로 밝고 쾌적한 분위기","식대 76,000원(VAT 포함), 음식 가짓수 많고 퀄리티 좋음",None,None,None,동선이 좋음,"대관료 5,000,000원, 생화장식 4,000,000원",상담해 주시는 매니저님이 매우 친절함,개인적인 사정으로 계약을 못한 점이 아쉬움,200
291,용산 로카우스 호텔,"세련된 분위기, 어두운 홀","정가식대 11만원, 할인가 8.91만원, 양식코스 비쌈",예식당일 하객 3시간 주차권 제공,용산역 도보 1분,신부대기실 다과 세팅 제공,None,"대관료 440만원에서 무료, 꽃장식 1100만원에서 996만원으로 할인","군가족할인, 웨딩메뉴 2인 시식, 레지던스 스위트 1박+조식 2인 포함","꽃장식 고정, 화이트홀 변경 시 추가 비용 220만원, 개인적 선호와 다름",150
292,대전 팔레드오페라 트리아농홀,"밝은 야외 분위기, 천장이 높고 고급스러운 톤",음식 평이 좋고 시식 후기 만족도 높음,None,None,대기실이 넓고 다른 팀과 분리되어 있어 편리함,동선이 깔끔하여 하객 이동이 편리함,None,부모님의 긍정적인 의견이 결정에 큰 영향을 미침,None,None
293,청담 더채플앳,None,"97,000원",None,None,None,None,"대관료 823만원, 식대 97,000원",None,None,200
294,청담 더채플앳 채플홀,"경건하고 단아한 채플스타일, 우드톤의 따뜻한 분위기",11만원,주차에 대한 언급 있음,None,None,None,홀 1100만원,None,주차 문제,300
295,인천 그랜드오스티엄 블리스홀,"따뜻한 캔들 연출과 차분한 분위기, 고급스러운 플라워 세팅","대관료 500만원, 식대 6만원, 할인가 대관료 200만원, 식대 5만원대","4000대 이상 주차 가능, 3시간 무료주차",None,"신부대기실에서 예식 진행 체크 가능, 비상 준비물 세팅",동선이 편리하고 간결함,가격이 합리적이고 다양한 혜택 제공,"인생네컷 포토부스, 빨간 우체통 이벤트 등 하객을 위한 다양한 서비스",아쉬운 점 없음,200
296,강서 루이비스,None,"76,000원",None,None,None,None,"대관료 690만원, 식대 76,000원",None,None,200
297,영등포 더베르G,"밝은 가든홀, 곡선으로 꺾인 버진로드, 생화가 많이 사용되어 꽃 향기가 좋음","식대 11만원, 계열사 식당들이 믿을만하다는 소문",None,"영등포역 근처, 지방하객 접근성 고려","신부대기실이 안쪽에 위치, 베르아일 통로가 예쁨",하객맞이 공간이 아치로 꾸며져 있어 좋음,대관료+꽃장식 1600만원,사회자 진행이 차분하고 만족스러움,"신부대기실 위치가 안쪽에 숨어있음, 혼주 락커 아쉬움",200
298,신도림 더링크 베일리홀,"압도적인 꽃장식과 쾌적한 새건물, 넓은 인사 공간","정가 식대 13만원, 할인가 식대 9.4만원",하객 1시간 30분 주차 제공,"신도림역에서 도보 가능, 셔틀버스 운영",혼주들은 별도의 룸에서 한상차림으로 식사,통행이 원활하고 복잡하지 않음,"대관료 2500만원, 할인가 1200만원",상담 직원에 대한 불만은 있었으나 개인적으로는 만족,"높은 비용, 주차 시간 제한",200
299,소공동 롯데호텔 서울,"고급스럽고 우아한 어두운 홀, 크리스탈볼룸과 넓은 로비","웨딩메뉴 15만원, 꽃장식 1650만원, 대관료 2200만원, 무대장식 660만원, 신부대기실 330만원",혼주 무료발렛 제공,"시청 근처, 교통 문제 우려","아테네가든, 동화같이 예쁜 신부대기실",넓은 로비로 하객 맞이 용이,"식대할인 없음, 신부대기실 및 꽃장식 추가 비용 발생","예식당일 스위트룸 제공, 리무진 픽업, 호텔 서비스 제공 특전 풍성","식대할인 없음, 추가 비용 발생, 교통 문제 우려로 계약 미체결",300
300,수원 파티움하우스,"밝고 화사한 하우스웨딩 느낌, S자 곡선 버진로드","식대 6.9만원, 뷔페 운영, 고급스러운 메뉴 구성","수원시청역 바로 앞, 직원 안내 잘 이루어짐",수원시청역 바로 앞,"신부대기실 사용 불가, 아쉬움",하객석 의자 여유 공간 충분,"대관료 700만원, 합리적인 가격","혼주 식사룸 별도, 카페 공간 제공",신부대기실 사용 불가,None
301,인천 그레이스파티,None,"73,000원",None,None,None,None,"대관료 550만원, 변동 가능성 있음",None,None,200
302,광명무역센터컨벤션,"어두운 홀, 은하수 같은 느낌","9만원, 뷔페가 맛있음",None,"광명역 근처, 접근성 애매함",None,단독홀이라 붐비지 않음,"대관료 1200만원, 할인가 720만원",None,"광명역 바로 앞이 아님, 신부입장 시 배경 조화가 예쁘지 않음",300
303,삼청각 일화당,"한옥 감성의 아름다운 분위기, 자연잔디로 조성된 야외 공간","정가 식대 17만원, 할인가 식대 14만원, 떡갈비와 소고기 포함","넓은 주차장, 주차 도와주는 요원 상주","한성대입구역과 안국역에서 셔틀버스 운영, 15-30분 간격","야외 신부대기실, 나무 그늘로 사진 촬영 어려움",하객 동선이 복잡할 수 있음,"대관료 1500만원, 꽃 1500만원, 총 견적 5000만원 이상",당일 계약 특전으로 플라워아치 및 웰컴드링크 할인 제공,"셔틀 대기 시간, 하객의 교통 불편, 버진로드 짧음, 해를 정면으로 보게 되는 위치",200
304,부천 라비에벨,층고가 높고 버진로드가 길어 웅장한 느낌,"72000원, 음식 종류와 퀄리티가 괜찮음",주차타워와 함께 주차 가능,None,가족사진을 찍을 별도의 공간이 마련되어 있으나 만족스럽지 않음,None,"890만원, 할인가 590만원","당일 계약 혜택, 답례품 교환처 마련",가족사진 공간이 별로 마음에 들지 않음,200
305,강서 루이비스,None,"62,000원",None,None,None,None,"대관료 240만원, 식대 62,000원",None,None,200
306,인천 그레이스파티,None,"69,000원",None,None,None,None,대관료 550만원,None,None,200
307,삼성 노블발렌티,"깔끔하고 밝은 홀, 환하고 이쁨","정가 식대 10만원, 할인가 식대 9만3천원",None,"엘리베이터 2대, 혼잡할 가능성 있음",None,혼잡할 가능성 있음,"대관료 300만원, 비수기와 비슷한 가격으로 할인",상담실장님의 친절한 설명,"식대가 비쌈, 엘리베이터 수 부족으로 혼잡 우려",200
308,강서 루이비스 컨벤션,"밝고 깔끔한 홀, 층고 7M, 넓은 공간감","88,000원, 루이비스의 식사 품질에 대한 신뢰","지하 2층부터 6층까지 주차 가능, 불편할 수 있음",None,None,넓은 연회장으로 하객 수용에 용이,"1200만원, 저렴한 견적",None,"주차장 위치 불편, 조감도 계약으로 인한 걱정",250
309,삼성역 그랜드힐 컨벤션,None,"정가 식대 99,000원, 할인가 식대 79,300원",하객 주차지원 3시간,None,None,모든 하객이 1층을 거쳐서 올라가야 함,"대관료+플라워 등 1,200만원, 할인가 800만원",당일계약 특전이 아쉬움,하객 동선이 복잡할 가능성,250
310,중구 루이비스 웨딩홀,"어두운 홀, 위치가 좋음","대관료 850만원, 식대 85,000원, 뷔페 맛있다는 소문",None,"충정로역 2호선, 5호선, 서울역 근처",신부 입장 방식이 특이함,"연회장이 8층으로 이동해야 하며, 다른 팀과 섞여 번잡스러움","대관료 600만원, 식대 75,000원 (본식스냅 및 추가 비용 별도)",예약 상담이 어렵다는 점,"식장이 좁고, 신부 입장 방식이 호불호가 갈림",250
311,웨딩여율리,None,"74,000원",None,None,None,None,"대관료 470만원, 인원과 견적 변동 가능",None,None,200
312,강서 루이비스,None,"식대 66,000원",None,None,None,None,대관료 570만원,None,None,200
313,인천 그레이스파티,"어두운 홀에 반짝거리는 분위기, 깔끔한 리뉴얼","식대 8.5만원, 음식 퀄리티 좋음",1000대 주차 가능,None,생화로 장식된 신부대기실,동선이 간결하고 복잡하지 않음,대관료 800만원,None,건물은 오래된 건물,200
314,아이벡스컨벤션,None,8만8천원,None,None,None,None,대관료 900만원,None,None,300
315,라브르에드니아 더나노주,None,12만원,None,None,None,None,"대관료 1200만원, 식대 12만원",None,None,200
316,왕십리 디노체 컨벤션,"어두운 홀에 높은 층고, 웅장함이 느껴짐","정가 70,000원, 할인가 66,000원, 무난한 뷔페",None,왕십리역에 위치,"신부 대기실이 심플하고 넓음, 다양한 입장 루트 제공",하객 동선이 겹칠 일 없음,"정가 700만원, 할인가 450만원",None,엔터식스 몰 안에 위치해 일반 손님들과 섞이는 점이 아쉬움,200
317,루클라비더화이트,None,"식대 93,000원",None,None,None,None,대관료 770만원,None,None,200
318,강서 루이비스,"밝은 단독홀, 높은 층고, 한쪽에만 통창이 있는 쾌적한 분위기","정가 식대 8.8만원, 루이비스의 식사가 맛있기로 유명","넉넉한 주차공간, 지하주차장 1층~6층, 추가 주차공간 도보 5분 거리",가양역 1분 거리,신부대기실에서 바로 신부입장 가능,이동 동선 깔끔하고 쾌적함,"대관료 1200만원, 오픈 전 계약으로 할인 적용",None,"상가 건물로 혼잡할 가능성, 조감도 계약에 대한 걱정",200
319,대치 더채플앳,"밝은 홀 느낌, 몽환적인 분위기","대관료 17,820,000 / 식대 132,000",주차공간 충분,None,작은 공간에 마련된 신부대기실,None,"대관료 8,624,000 / 식대 96,800, 저렴한 가격으로 상담 가능",단독대관으로 여유 있는 대관시간,메인홀 버진로드가 짧고 신부대기실이 작은 형태,230
320,인천 그레이스파티,None,"72,000원",None,None,None,None,"대관료 600만원, 인원과 견적 변동 가능",None,None,200
321,신사 더컨벤션,"세련되고 고급스러운 분위기, 화이트톤의 신부대기실과 통일감 있는 연회장","13만원, 후기가 좋음",None,신사역 도보 가능,화이트톤에 은은한 포인트로 분위기가 좋음,아담한 홀 사이즈로 답답할 수 있음,"1540만원대, 할인가 1060만원",None,홀 사이즈가 작아 보증인원 기준으로 답답할 수 있음,300
322,인천 그랜드오스티엄 CMCC홀,"넓고 시원한 느낌의 4층 단독홀, 야외 테라스가 감성적임","정가 식대 6만5천원, 할인가 5만7천원, 음식 후기가 좋음","4천 대 이상 수용 가능, 3시간 무료 주차","역과 근접, 버스 이용 가능","넓고 편리한 신부대기실, 가족 대기 공간과 락커룸 있음",동선이 잘 분리되어 있어 이용하기 좋음,"대관료 650만원, 할인가 270만원","페이징 벨, 핑거푸드 등 세심한 서비스 제공, 혼주석에 스테이크 코스 제공",None,300
323,웨딩여율리,None,"76,000원",None,None,None,None,"대관료 430만원, 변동 가능성 있음",None,None,200
324,강서 루이비스,"층고가 높고 버진로드가 길어보임, 단독홀로 하객 섞일 일 없음","88,000원, 루이밥스라는 이름으로 유명함",None,"엘리베이터 3대 이상 운영, 하객들이 편하게 이동 가능",None,헷갈리지 않고 편리할 것으로 예상됨,"대관료 12,000,000원, 신상 홀로 비용 메리트 있음",계약 후 시식 가능,조감도대로 잘 나오길 바람,230
325,삼성 노블발렌티,"밝고 따듯한 화이트앤그린 톤, 생화 장식이 우아함을 더함","10만원, 깔끔하고 맛있음","봉은사역 근처, 주차 걱정 없음",봉은사역에서 매우 가까움,사랑스러운 분위기의 생화 장식,2개 층으로 나눠져 동선 가이드가 용이함,"1300만원, 가성비 좋은 계약","친절한 상담실장님, 추가 비용 없는 생화 장식",None,250
326,여의도 웨딩여율리,"은은하면서도 웅장한 분위기, 화이트·그린 톤의 플라워 스타일링","대인 95,000원, 소인 45,000원, 음료 7,000원, 제철음식 포함",None,None,생화로 꾸며져 있으며 채광이 좋음,홀과 연회장이 다른 층에 위치해 동선이 불편할 수 있음,"대관료 11,000,000원, 플라워 장식 및 혼구용품 포함",친절한 상담과 동선 안내,홀과 연회장 층이 달라 하객 동선 불편,250
327,연대동문회관 예식장,무난하고 가까운 분위기,"식대 7만5천원 + 4천원(주류), 예식진행 100만원, 꽃장식 400만원",None,None,None,None,"기부금 50만원 내면 동문할인, 뷔페 10%, 예식진행 70만원, 꽃장식 350만원",식사가 조금 바뀐다고 함,꽃장식이 다른 곳에 비해 적음,250
328,수원 wi컨벤션,None,"69,000원, 맛있다는 평이 많음",경기장으로 주차대수 걱정 없음,None,None,None,"620만원, 평일 운영으로 할인 혜택 있음",None,경기 일정으로 인한 걱정,150
329,송파 문정 루이비스,"호텔 같은 분위기, 샹들리에가 독특하고 생화 향이 좋음","7만8천원, 음식 종류 다양하고 신선함",None,"문정역에서 10분 거리, 셔틀 있음",None,None,"대관료 800만원, 5만7천원으로 저렴함",계약 담당자가 친절하고 다양한 시간대 견적 제공,전철역에서의 거리,250
330,크레스트72,None,"식대 121,000원(뷔페), 132,000원(코스)",None,None,None,None,"대관료 16,500,000원, 할인가 대관료 15,000,000원",커스텀 옵션이 좋음,높은 견적,250
331,라시따시어터,None,"정가 식대 11만원, 할인가 식대 9만3천원",None,None,None,None,"대관료 15,000,000 원, 할인가 대관료 480만원",원판스냅 필수 150만원,"원하는 날짜가 없어 계약하지 않음, 공휴일 다음날만 가능",200
332,광명 아이벡스컨벤션,"어두운 홀에 높은 층고(11m), 호텔 예식 분위기","식대 11만원, 뷔페로 진행, 맛있음",None,"광명역 KTX, 도보 2분 거리","신부대기실은 밝은 느낌, 복도 조감도 예쁨",하객 대기 공간이 야외 정원으로 마련되어 있음,"대관료 1,500만원","친절한 상담, 신상 웨딩홀에 대한 믿음","실물을 보지 못해 아쉬움, 조감도만으로 결정",None
333,원남교당,공간이 크고 웅장한 분위기,"뷔페 인당 80,000원, 식사금액 76,000원으로 할인",None,None,None,None,"대관료 1,950만원, 할인가 1,750만원, 합리적임","하루에 한 팀만 결혼식 진행, 상담 담당자가 친절함",None,250
334,강남 루클라비 더화이트 웨딩홀,밝고 높은 층고의 육각형 홀,정가식대 13만원,"주차 문제 있음, 내년까지 보완 예정",None,"신부 대기실 6m, 로비 7m, 홀 8m로 높은 층고",None,"예산보다 약간 초과, 당일 계약 혜택 있음","신생홀로 피드백을 반영하여 보완 중, 다과상 제공",주차 문제,200
335,수원 리츠호텔,None,"76000원, 할인가 73000원",주차 걱정됨,None,None,None,"대관료 520만원, 할인가 180만원",None,주차 문제,200
336,소피텔,"고급스럽고 우아한 분위기, 넓어 보이는 공간과 높은 천장","식대 15만원, 꽃장식 23만원",주차 넉넉함,"잠실, 주말에 약간의 교통 혼잡",None,하객 동선이 괜찮고 안내가 잘 되어 있음,"약 5000만원대 계약, 아이웨딩 통해 저렴하게 진행","소피텔 담당자 친절, 상담 과정이 편리함",None,200
337,루이비스,None,"74,000원",None,None,None,None,"대관료 530만원, 식대 74,000원",None,None,200
338,더세인트,None,"83,000원",None,None,None,None,"대관료 989만원, 변동 가능성 있음",None,None,300
339,엘타워(ELTower) 그랜드홀,"여성스러운 무드와 웅장한 무드가 공존하는 홀, 높은 층고","정가 식대 14만원, 할인가 식대 11.5만원",주차 편의성이 우수,지하철역과 바로 연결되어 있어 하객 교통 접근성이 뛰어남,None,1층에서 하객 동선이 겹칠 수 있어 복잡함,"정가 총 6천 5백만원, 할인가 총 5천 3백만원","기본 플로럴이 잘 되어 있으나, 꽃장식을 커스텀할 수 없음","하객 동선 겹침, 꽃장식 커스텀 불가",300
340,안성 더AW웨딩컨벤션,"적당히 격 있고 편안한 예식장, 화이트톤 중심의 청순하고 깨끗한 느낌","시식 가능, 하객들이 밥 맛있었다고 언급",동시 800대 주차 가능,None,None,"동선 겹침이 없고, 1층과 4층으로 분리되어 있음","대관 100만원, 스드메 150만원 이벤트 진행 중",로비가 깔끔하고 하객들이 쉴 수 있는 테이블 제공,캐주얼하고 자연스러운 느낌은 아님,None
